prompt_id,budget_seconds,scheduler_run,scheduler_model,scheduler_config,scheduler_latency,scheduler_quality,best_fixed_preset,best_fixed_run,best_fixed_latency,best_fixed_quality,quality_gain,fixed_preset_status
fast_action,1.0,ltx_fast_action_ltx_fast_384x640_17f_20s,ltx,ltx_fast_384x640_17f_20s,0.983285,0.4944,,,,,,fixed_ltx_preview: over budget (2.43s); fixed_ltx_quality: over budget (9.19s); fixed_cogvideox_preview: over budget (15.59s); fixed_cogvideox_quality: over budget (101.18s)
fast_action,2.0,ltx_fast_action_ltx_fast_384x640_33f_20s,ltx,ltx_fast_384x640_33f_20s,1.734769,0.5889,,,,,,fixed_ltx_preview: over budget (2.43s); fixed_ltx_quality: over budget (9.19s); fixed_cogvideox_preview: over budget (15.59s); fixed_cogvideox_quality: over budget (101.18s)
fast_action,5.0,ltx_fast_action_ltx_fast_384x640_81f_20s,ltx,ltx_fast_384x640_81f_20s,4.052368,0.6513,fixed_ltx_preview,ltx_fast_action_ltx_fast_384x640_49f_20s,2.425399,0.5868,0.0645,"fixed_ltx_preview: fits (2.43s, q=0.5868); fixed_ltx_quality: over budget (9.19s); fixed_cogvideox_preview: over budget (15.59s); fixed_cogvideox_quality: over budget (101.18s)"
fast_action,10.0,ltx_fast_action_ltx_fast_384x640_81f_20s,ltx,ltx_fast_384x640_81f_20s,4.052368,0.6513,fixed_ltx_quality,ltx_fast_action_ltx_quality_512x704_81f_30s,9.192514,0.6235,0.0278,"fixed_ltx_preview: fits (2.43s, q=0.5868); fixed_ltx_quality: fits (9.19s, q=0.6235); fixed_cogvideox_preview: over budget (15.59s); fixed_cogvideox_quality: over budget (101.18s)"
fast_action,20.0,cogvideox_fast_action_cogvideox_480x768_17f_15s,cogvideox,cogvideox_480x768_17f_15s,15.587001,0.7125,fixed_cogvideox_preview,cogvideox_fast_action_cogvideox_480x768_17f_15s,15.587001,0.7125,0.0000,"fixed_ltx_preview: fits (2.43s, q=0.5868); fixed_ltx_quality: fits (9.19s, q=0.6235); fixed_cogvideox_preview: fits (15.59s, q=0.7125); fixed_cogvideox_quality: over budget (101.18s)"
fast_action,40.0,cogvideox_fast_action_cogvideox_384x640_49f_15s,cogvideox,cogvideox_384x640_49f_15s,25.228926,0.7685,fixed_cogvideox_preview,cogvideox_fast_action_cogvideox_480x768_17f_15s,15.587001,0.7125,0.0560,"fixed_ltx_preview: fits (2.43s, q=0.5868); fixed_ltx_quality: fits (9.19s, q=0.6235); fixed_cogvideox_preview: fits (15.59s, q=0.7125); fixed_cogvideox_quality: over budget (101.18s)"
fast_action,70.0,cogvideox_fast_action_cogvideox_384x640_49f_15s,cogvideox,cogvideox_384x640_49f_15s,25.228926,0.7685,fixed_cogvideox_preview,cogvideox_fast_action_cogvideox_480x768_17f_15s,15.587001,0.7125,0.0560,"fixed_ltx_preview: fits (2.43s, q=0.5868); fixed_ltx_quality: fits (9.19s, q=0.6235); fixed_cogvideox_preview: fits (15.59s, q=0.7125); fixed_cogvideox_quality: over budget (101.18s)"
fast_action,100.0,cogvideox_fast_action_cogvideox_384x640_49f_15s,cogvideox,cogvideox_384x640_49f_15s,25.228926,0.7685,fixed_cogvideox_preview,cogvideox_fast_action_cogvideox_480x768_17f_15s,15.587001,0.7125,0.0560,"fixed_ltx_preview: fits (2.43s, q=0.5868); fixed_ltx_quality: fits (9.19s, q=0.6235); fixed_cogvideox_preview: fits (15.59s, q=0.7125); fixed_cogvideox_quality: over budget (101.18s)"
static_landscape,1.0,ltx_static_landscape_ltx_fast_384x640_49f_4s,ltx,ltx_fast_384x640_49f_4s,0.792668,0.5065,,,,,,fixed_ltx_preview: over budget (2.38s); fixed_ltx_quality: over budget (9.03s); fixed_cogvideox_preview: over budget (15.85s); fixed_cogvideox_quality: over budget (99.67s)
static_landscape,2.0,ltx_static_landscape_ltx_fast_384x640_33f_20s,ltx,ltx_fast_384x640_33f_20s,1.727198,0.5664,,,,,,fixed_ltx_preview: over budget (2.38s); fixed_ltx_quality: over budget (9.03s); fixed_cogvideox_preview: over budget (15.85s); fixed_cogvideox_quality: over budget (99.67s)
static_landscape,5.0,ltx_static_landscape_ltx_fast_384x640_33f_20s,ltx,ltx_fast_384x640_33f_20s,1.727198,0.5664,fixed_ltx_preview,ltx_static_landscape_ltx_fast_384x640_49f_20s,2.378240,0.5155,0.0509,"fixed_ltx_preview: fits (2.38s, q=0.5155); fixed_ltx_quality: over budget (9.03s); fixed_cogvideox_preview: over budget (15.85s); fixed_cogvideox_quality: over budget (99.67s)"
static_landscape,10.0,ltx_static_landscape_ltx_fast_384x640_33f_20s,ltx,ltx_fast_384x640_33f_20s,1.727198,0.5664,fixed_ltx_preview,ltx_static_landscape_ltx_fast_384x640_49f_20s,2.378240,0.5155,0.0509,"fixed_ltx_preview: fits (2.38s, q=0.5155); fixed_ltx_quality: fits (9.03s, q=0.5012); fixed_cogvideox_preview: over budget (15.85s); fixed_cogvideox_quality: over budget (99.67s)"
static_landscape,20.0,ltx_static_landscape_ltx_fast_384x640_33f_20s,ltx,ltx_fast_384x640_33f_20s,1.727198,0.5664,fixed_ltx_preview,ltx_static_landscape_ltx_fast_384x640_49f_20s,2.378240,0.5155,0.0509,"fixed_ltx_preview: fits (2.38s, q=0.5155); fixed_ltx_quality: fits (9.03s, q=0.5012); fixed_cogvideox_preview: fits (15.85s, q=0.4710); fixed_cogvideox_quality: over budget (99.67s)"
static_landscape,40.0,ltx_static_landscape_ltx_fast_384x640_33f_20s,ltx,ltx_fast_384x640_33f_20s,1.727198,0.5664,fixed_ltx_preview,ltx_static_landscape_ltx_fast_384x640_49f_20s,2.378240,0.5155,0.0509,"fixed_ltx_preview: fits (2.38s, q=0.5155); fixed_ltx_quality: fits (9.03s, q=0.5012); fixed_cogvideox_preview: fits (15.85s, q=0.4710); fixed_cogvideox_quality: over budget (99.67s)"
