prompt_id,budget_seconds,selected_run,selected_model,selected_latency,selected_quality,best_ltx_run,best_ltx_quality,best_cogvideox_run,best_cogvideox_quality
fast_action,1.0,ltx_fast_action_ltx_fast_384x640_17f_20s,ltx,0.983285,0.4944,ltx_fast_action_ltx_fast_384x640_17f_20s,0.4944,,
fast_action,2.0,ltx_fast_action_ltx_fast_384x640_33f_20s,ltx,1.734769,0.5889,ltx_fast_action_ltx_fast_384x640_33f_20s,0.5889,,
fast_action,5.0,ltx_fast_action_ltx_fast_384x640_81f_20s,ltx,4.052368,0.6513,ltx_fast_action_ltx_fast_384x640_81f_20s,0.6513,,
fast_action,10.0,ltx_fast_action_ltx_fast_384x640_81f_20s,ltx,4.052368,0.6513,ltx_fast_action_ltx_fast_384x640_81f_20s,0.6513,,
fast_action,20.0,cogvideox_fast_action_cogvideox_480x768_17f_15s,cogvideox,15.587001,0.7125,ltx_fast_action_ltx_fast_384x640_81f_20s,0.6513,cogvideox_fast_action_cogvideox_480x768_17f_15s,0.7125
fast_action,40.0,cogvideox_fast_action_cogvideox_384x640_49f_15s,cogvideox,25.228926,0.7685,ltx_fast_action_ltx_fast_384x640_81f_20s,0.6513,cogvideox_fast_action_cogvideox_384x640_49f_15s,0.7685
fast_action,70.0,cogvideox_fast_action_cogvideox_384x640_49f_15s,cogvideox,25.228926,0.7685,ltx_fast_action_ltx_fast_384x640_81f_20s,0.6513,cogvideox_fast_action_cogvideox_384x640_49f_15s,0.7685
fast_action,100.0,cogvideox_fast_action_cogvideox_384x640_49f_15s,cogvideox,25.228926,0.7685,ltx_fast_action_ltx_fast_384x640_81f_20s,0.6513,cogvideox_fast_action_cogvideox_384x640_49f_15s,0.7685
static_landscape,1.0,ltx_static_landscape_ltx_fast_384x640_49f_4s,ltx,0.792668,0.5065,ltx_static_landscape_ltx_fast_384x640_49f_4s,0.5065,,
static_landscape,2.0,ltx_static_landscape_ltx_fast_384x640_33f_20s,ltx,1.727198,0.5664,ltx_static_landscape_ltx_fast_384x640_33f_20s,0.5664,,
static_landscape,5.0,ltx_static_landscape_ltx_fast_384x640_33f_20s,ltx,1.727198,0.5664,ltx_static_landscape_ltx_fast_384x640_33f_20s,0.5664,,
static_landscape,10.0,ltx_static_landscape_ltx_fast_384x640_33f_20s,ltx,1.727198,0.5664,ltx_static_landscape_ltx_fast_384x640_33f_20s,0.5664,,
static_landscape,20.0,ltx_static_landscape_ltx_fast_384x640_33f_20s,ltx,1.727198,0.5664,ltx_static_landscape_ltx_fast_384x640_33f_20s,0.5664,cogvideox_static_landscape_cogvideox_480x768_17f_15s,0.4710
static_landscape,40.0,ltx_static_landscape_ltx_fast_384x640_33f_20s,ltx,1.727198,0.5664,ltx_static_landscape_ltx_fast_384x640_33f_20s,0.5664,cogvideox_static_landscape_cogvideox_480x768_17f_15s,0.4710
static_landscape,70.0,ltx_static_landscape_ltx_fast_384x640_33f_20s,ltx,1.727198,0.5664,ltx_static_landscape_ltx_fast_384x640_33f_20s,0.5664,cogvideox_static_landscape_cogvideox_480x768_49f_30s,0.4829
static_landscape,100.0,ltx_static_landscape_ltx_fast_384x640_33f_20s,ltx,1.727198,0.5664,ltx_static_landscape_ltx_fast_384x640_33f_20s,0.5664,cogvideox_static_landscape_cogvideox_480x768_49f_30s,0.4829
walking_person,1.0,ltx_walking_person_ltx_fast_384x640_17f_20s,ltx,0.970257,0.7320,ltx_walking_person_ltx_fast_384x640_17f_20s,0.7320,,
walking_person,2.0,ltx_walking_person_ltx_fast_384x640_49f_15s,ltx,1.893095,0.8027,ltx_walking_person_ltx_fast_384x640_49f_15s,0.8027,,
walking_person,5.0,ltx_walking_person_ltx_fast_512x704_49f_20s,ltx,3.742048,0.8515,ltx_walking_person_ltx_fast_512x704_49f_20s,0.8515,,
walking_person,10.0,ltx_walking_person_ltx_fast_512x704_49f_20s,ltx,3.742048,0.8515,ltx_walking_person_ltx_fast_512x704_49f_20s,0.8515,,
walking_person,20.0,ltx_walking_person_ltx_fast_512x704_49f_20s,ltx,3.742048,0.8515,ltx_walking_person_ltx_fast_512x704_49f_20s,0.8515,cogvideox_walking_person_cogvideox_480x768_17f_15s,0.6089
walking_person,40.0,ltx_walking_person_ltx_fast_512x704_49f_20s,ltx,3.742048,0.8515,ltx_walking_person_ltx_fast_512x704_49f_20s,0.8515,cogvideox_walking_person_cogvideox_480x768_17f_15s,0.6089
walking_person,70.0,ltx_walking_person_ltx_fast_512x704_49f_20s,ltx,3.742048,0.8515,ltx_walking_person_ltx_fast_512x704_49f_20s,0.8515,cogvideox_walking_person_cogvideox_480x768_49f_30s,0.6556
walking_person,100.0,ltx_walking_person_ltx_fast_512x704_49f_20s,ltx,3.742048,0.8515,ltx_walking_person_ltx_fast_512x704_49f_20s,0.8515,cogvideox_walking_person_cogvideox_480x768_49f_30s,0.6556
