run_id,model,prompt_id,latency_seconds,wall_clock_generation_seconds,peak_memory_mb,frames_dir
cogvideox_fast_action_cogvideox_384x640_49f_15s,cogvideox,fast_action,25.228926,,11066.21,outputs_v3/cogvideox/runs/cogvideox_fast_action_cogvideox_384x640_49f_15s/frames
cogvideox_fast_action_cogvideox_480x768_17f_15s,cogvideox,fast_action,15.587001,,11066.21,outputs_v3/cogvideox/runs/cogvideox_fast_action_cogvideox_480x768_17f_15s/frames
cogvideox_fast_action_cogvideox_480x768_33f_15s,cogvideox,fast_action,25.407898,,11066.21,outputs_v3/cogvideox/runs/cogvideox_fast_action_cogvideox_480x768_33f_15s/frames
cogvideox_fast_action_cogvideox_480x768_49f_15s,cogvideox,fast_action,38.627949,,11066.21,outputs_v3/cogvideox/runs/cogvideox_fast_action_cogvideox_480x768_49f_15s/frames
cogvideox_fast_action_cogvideox_480x768_49f_30s,cogvideox,fast_action,65.522407,,11066.21,outputs_v3/cogvideox/runs/cogvideox_fast_action_cogvideox_480x768_49f_30s/frames
cogvideox_fast_action_cogvideox_480x768_49f_50s,cogvideox,fast_action,101.179127,,11066.21,outputs_v3/cogvideox/runs/cogvideox_fast_action_cogvideox_480x768_49f_50s/frames
cogvideox_fast_action_cogvideox_480x768_81f_15s,cogvideox,fast_action,70.770271,,11066.21,outputs_v3/cogvideox/runs/cogvideox_fast_action_cogvideox_480x768_81f_15s/frames
cogvideox_fast_action_cogvideox_fast_480x768_49f_15s,cogvideox,fast_action,38.433578,,11066.21,outputs_v3/cogvideox/runs/cogvideox_fast_action_cogvideox_fast_480x768_49f_15s/frames
cogvideox_static_landscape_cogvideox_384x640_49f_15s,cogvideox,static_landscape,33.170093,,11066.21,outputs_v3/cogvideox/runs/cogvideox_static_landscape_cogvideox_384x640_49f_15s/frames
cogvideox_static_landscape_cogvideox_480x768_17f_15s,cogvideox,static_landscape,15.85493,,11066.21,outputs_v3/cogvideox/runs/cogvideox_static_landscape_cogvideox_480x768_17f_15s/frames
cogvideox_static_landscape_cogvideox_480x768_33f_15s,cogvideox,static_landscape,26.367012,,11066.21,outputs_v3/cogvideox/runs/cogvideox_static_landscape_cogvideox_480x768_33f_15s/frames
cogvideox_static_landscape_cogvideox_480x768_49f_15s,cogvideox,static_landscape,42.068114,,11066.21,outputs_v3/cogvideox/runs/cogvideox_static_landscape_cogvideox_480x768_49f_15s/frames
cogvideox_static_landscape_cogvideox_480x768_49f_30s,cogvideox,static_landscape,64.006981,,11066.21,outputs_v3/cogvideox/runs/cogvideox_static_landscape_cogvideox_480x768_49f_30s/frames
cogvideox_static_landscape_cogvideox_480x768_49f_50s,cogvideox,static_landscape,99.673645,,11066.21,outputs_v3/cogvideox/runs/cogvideox_static_landscape_cogvideox_480x768_49f_50s/frames
cogvideox_static_landscape_cogvideox_480x768_81f_15s,cogvideox,static_landscape,75.635284,,11066.21,outputs_v3/cogvideox/runs/cogvideox_static_landscape_cogvideox_480x768_81f_15s/frames
cogvideox_static_landscape_cogvideox_fast_480x768_49f_15s,cogvideox,static_landscape,44.336015,,11066.21,outputs_v3/cogvideox/runs/cogvideox_static_landscape_cogvideox_fast_480x768_49f_15s/frames
cogvideox_walking_person_cogvideox_384x640_49f_15s,cogvideox,walking_person,25.39785,,11066.21,outputs_v3/cogvideox/runs/cogvideox_walking_person_cogvideox_384x640_49f_15s/frames
cogvideox_walking_person_cogvideox_480x768_17f_15s,cogvideox,walking_person,15.746045,,11066.21,outputs_v3/cogvideox/runs/cogvideox_walking_person_cogvideox_480x768_17f_15s/frames
cogvideox_walking_person_cogvideox_480x768_33f_15s,cogvideox,walking_person,27.27073,,11066.21,outputs_v3/cogvideox/runs/cogvideox_walking_person_cogvideox_480x768_33f_15s/frames
cogvideox_walking_person_cogvideox_480x768_49f_15s,cogvideox,walking_person,38.987513,,11066.21,outputs_v3/cogvideox/runs/cogvideox_walking_person_cogvideox_480x768_49f_15s/frames
cogvideox_walking_person_cogvideox_480x768_49f_30s,cogvideox,walking_person,63.914748,,11066.21,outputs_v3/cogvideox/runs/cogvideox_walking_person_cogvideox_480x768_49f_30s/frames
cogvideox_walking_person_cogvideox_480x768_49f_50s,cogvideox,walking_person,100.159718,,11066.21,outputs_v3/cogvideox/runs/cogvideox_walking_person_cogvideox_480x768_49f_50s/frames
cogvideox_walking_person_cogvideox_480x768_81f_15s,cogvideox,walking_person,72.614692,,11066.21,outputs_v3/cogvideox/runs/cogvideox_walking_person_cogvideox_480x768_81f_15s/frames
cogvideox_walking_person_cogvideox_fast_480x768_49f_15s,cogvideox,walking_person,39.623936,,11066.21,outputs_v3/cogvideox/runs/cogvideox_walking_person_cogvideox_fast_480x768_49f_15s/frames
