run_id,model,prompt_id,latency_seconds,wall_clock_generation_seconds,peak_memory_mb,frames_dir
ltx_fast_action_ltx_fast_384x640_17f_20s,ltx,fast_action,0.983285,,13941.79,outputs_v3/ltx_video/runs/ltx_fast_action_ltx_fast_384x640_17f_20s/frames
ltx_fast_action_ltx_fast_384x640_33f_20s,ltx,fast_action,1.734769,,14242.84,outputs_v3/ltx_video/runs/ltx_fast_action_ltx_fast_384x640_33f_20s/frames
ltx_fast_action_ltx_fast_384x640_49f_15s,ltx,fast_action,1.915033,,14545.25,outputs_v3/ltx_video/runs/ltx_fast_action_ltx_fast_384x640_49f_15s/frames
ltx_fast_action_ltx_fast_384x640_49f_20s,ltx,fast_action,2.425399,,14544.9,outputs_v3/ltx_video/runs/ltx_fast_action_ltx_fast_384x640_49f_20s/frames
ltx_fast_action_ltx_fast_384x640_49f_30s,ltx,fast_action,3.45173,,14544.9,outputs_v3/ltx_video/runs/ltx_fast_action_ltx_fast_384x640_49f_30s/frames
ltx_fast_action_ltx_fast_384x640_49f_4s,ltx,fast_action,0.785042,,14544.9,outputs_v3/ltx_video/runs/ltx_fast_action_ltx_fast_384x640_49f_4s/frames
ltx_fast_action_ltx_fast_384x640_49f_8s,ltx,fast_action,1.197869,,14544.9,outputs_v3/ltx_video/runs/ltx_fast_action_ltx_fast_384x640_49f_8s/frames
ltx_fast_action_ltx_fast_384x640_81f_20s,ltx,fast_action,4.052368,,15147.14,outputs_v3/ltx_video/runs/ltx_fast_action_ltx_fast_384x640_81f_20s/frames
ltx_fast_action_ltx_fast_512x704_49f_20s,ltx,fast_action,3.775841,,14857.51,outputs_v3/ltx_video/runs/ltx_fast_action_ltx_fast_512x704_49f_20s/frames
ltx_fast_action_ltx_quality_512x704_81f_30s,ltx,fast_action,9.192514,,15660.54,outputs_v3/ltx_video/runs/ltx_fast_action_ltx_quality_512x704_81f_30s/frames
ltx_static_landscape_ltx_fast_384x640_17f_20s,ltx,static_landscape,1.377661,,13941.79,outputs_v3/ltx_video/runs/ltx_static_landscape_ltx_fast_384x640_17f_20s/frames
ltx_static_landscape_ltx_fast_384x640_33f_20s,ltx,static_landscape,1.727198,,14242.84,outputs_v3/ltx_video/runs/ltx_static_landscape_ltx_fast_384x640_33f_20s/frames
ltx_static_landscape_ltx_fast_384x640_49f_15s,ltx,static_landscape,1.88911,,14545.25,outputs_v3/ltx_video/runs/ltx_static_landscape_ltx_fast_384x640_49f_15s/frames
ltx_static_landscape_ltx_fast_384x640_49f_20s,ltx,static_landscape,2.37824,,14544.9,outputs_v3/ltx_video/runs/ltx_static_landscape_ltx_fast_384x640_49f_20s/frames
ltx_static_landscape_ltx_fast_384x640_49f_30s,ltx,static_landscape,3.364818,,14544.9,outputs_v3/ltx_video/runs/ltx_static_landscape_ltx_fast_384x640_49f_30s/frames
ltx_static_landscape_ltx_fast_384x640_49f_4s,ltx,static_landscape,0.792668,,14544.9,outputs_v3/ltx_video/runs/ltx_static_landscape_ltx_fast_384x640_49f_4s/frames
ltx_static_landscape_ltx_fast_384x640_49f_8s,ltx,static_landscape,1.173695,,14544.9,outputs_v3/ltx_video/runs/ltx_static_landscape_ltx_fast_384x640_49f_8s/frames
ltx_static_landscape_ltx_fast_384x640_81f_20s,ltx,static_landscape,4.002346,,15147.14,outputs_v3/ltx_video/runs/ltx_static_landscape_ltx_fast_384x640_81f_20s/frames
ltx_static_landscape_ltx_fast_512x704_49f_20s,ltx,static_landscape,3.737688,,14857.51,outputs_v3/ltx_video/runs/ltx_static_landscape_ltx_fast_512x704_49f_20s/frames
ltx_static_landscape_ltx_quality_512x704_81f_30s,ltx,static_landscape,9.028004,,15660.54,outputs_v3/ltx_video/runs/ltx_static_landscape_ltx_quality_512x704_81f_30s/frames
ltx_walking_person_ltx_fast_384x640_17f_20s,ltx,walking_person,0.970257,,13941.79,outputs_v3/ltx_video/runs/ltx_walking_person_ltx_fast_384x640_17f_20s/frames
ltx_walking_person_ltx_fast_384x640_33f_20s,ltx,walking_person,1.712689,,14242.84,outputs_v3/ltx_video/runs/ltx_walking_person_ltx_fast_384x640_33f_20s/frames
ltx_walking_person_ltx_fast_384x640_49f_15s,ltx,walking_person,1.893095,,14545.25,outputs_v3/ltx_video/runs/ltx_walking_person_ltx_fast_384x640_49f_15s/frames
ltx_walking_person_ltx_fast_384x640_49f_20s,ltx,walking_person,2.399913,,14544.9,outputs_v3/ltx_video/runs/ltx_walking_person_ltx_fast_384x640_49f_20s/frames
ltx_walking_person_ltx_fast_384x640_49f_30s,ltx,walking_person,3.422335,,14544.9,outputs_v3/ltx_video/runs/ltx_walking_person_ltx_fast_384x640_49f_30s/frames
ltx_walking_person_ltx_fast_384x640_49f_4s,ltx,walking_person,0.779245,,14544.9,outputs_v3/ltx_video/runs/ltx_walking_person_ltx_fast_384x640_49f_4s/frames
