run_id,model,prompt_id,latency_seconds,wall_clock_generation_seconds,peak_memory_mb,frames_dir
ltx_fast_action_ltx_fast_384x640_17f_20s,ltx,fast_action,0.964743,,13941.79,outputs/ltx_video/runs/ltx_fast_action_ltx_fast_384x640_17f_20s/frames
ltx_fast_action_ltx_fast_384x640_33f_20s,ltx,fast_action,1.720878,,17911.41,outputs/ltx_video/runs/ltx_fast_action_ltx_fast_384x640_33f_20s/frames
ltx_fast_action_ltx_fast_384x640_49f_15s,ltx,fast_action,1.927648,,18213.82,outputs/ltx_video/runs/ltx_fast_action_ltx_fast_384x640_49f_15s/frames
ltx_fast_action_ltx_fast_384x640_49f_20s,ltx,fast_action,2.403781,,18213.46,outputs/ltx_video/runs/ltx_fast_action_ltx_fast_384x640_49f_20s/frames
ltx_fast_action_ltx_fast_384x640_49f_30s,ltx,fast_action,3.414528,,21882.03,outputs/ltx_video/runs/ltx_fast_action_ltx_fast_384x640_49f_30s/frames
ltx_fast_action_ltx_fast_384x640_49f_4s,ltx,fast_action,0.772194,,25550.6,outputs/ltx_video/runs/ltx_fast_action_ltx_fast_384x640_49f_4s/frames
ltx_fast_action_ltx_fast_384x640_49f_8s,ltx,fast_action,1.217573,,14544.9,outputs/ltx_video/runs/ltx_fast_action_ltx_fast_384x640_49f_8s/frames
ltx_fast_action_ltx_fast_384x640_81f_20s,ltx,fast_action,4.158911,,22484.27,outputs/ltx_video/runs/ltx_fast_action_ltx_fast_384x640_81f_20s/frames
ltx_fast_action_ltx_fast_512x704_49f_20s,ltx,fast_action,3.833402,,25863.21,outputs/ltx_video/runs/ltx_fast_action_ltx_fast_512x704_49f_20s/frames
ltx_fast_action_ltx_quality_512x704_81f_30s,ltx,fast_action,9.084259,,22997.67,outputs/ltx_video/runs/ltx_fast_action_ltx_quality_512x704_81f_30s/frames
ltx_static_landscape_ltx_fast_384x640_17f_20s,ltx,static_landscape,0.969528,,21278.92,outputs/ltx_video/runs/ltx_static_landscape_ltx_fast_384x640_17f_20s/frames
ltx_static_landscape_ltx_fast_384x640_33f_20s,ltx,static_landscape,1.733868,,25248.54,outputs/ltx_video/runs/ltx_static_landscape_ltx_fast_384x640_33f_20s/frames
ltx_static_landscape_ltx_fast_384x640_49f_15s,ltx,static_landscape,1.88909,,14524.25,outputs/ltx_video/runs/ltx_static_landscape_ltx_fast_384x640_49f_15s/frames
ltx_static_landscape_ltx_fast_384x640_49f_20s,ltx,static_landscape,3.240603,,14544.9,outputs/ltx_video/runs/ltx_static_landscape_ltx_fast_384x640_49f_20s/frames
ltx_static_landscape_ltx_fast_384x640_49f_30s,ltx,static_landscape,3.411299,,18213.46,outputs/ltx_video/runs/ltx_static_landscape_ltx_fast_384x640_49f_30s/frames
ltx_static_landscape_ltx_fast_384x640_49f_4s,ltx,static_landscape,1.344254,,14544.9,outputs/ltx_video/runs/ltx_static_landscape_ltx_fast_384x640_49f_4s/frames
ltx_static_landscape_ltx_fast_384x640_49f_8s,ltx,static_landscape,1.233193,,18213.46,outputs/ltx_video/runs/ltx_static_landscape_ltx_fast_384x640_49f_8s/frames
ltx_static_landscape_ltx_fast_384x640_81f_20s,ltx,static_landscape,4.024478,,15147.14,outputs/ltx_video/runs/ltx_static_landscape_ltx_fast_384x640_81f_20s/frames
ltx_static_landscape_ltx_fast_512x704_49f_20s,ltx,static_landscape,3.797106,,18526.08,outputs/ltx_video/runs/ltx_static_landscape_ltx_fast_512x704_49f_20s/frames
ltx_static_landscape_ltx_quality_512x704_81f_30s,ltx,static_landscape,9.40905,,15660.54,outputs/ltx_video/runs/ltx_static_landscape_ltx_quality_512x704_81f_30s/frames
ltx_walking_person_ltx_fast_384x640_17f_20s,ltx,walking_person,0.95933,,24947.49,outputs/ltx_video/runs/ltx_walking_person_ltx_fast_384x640_17f_20s/frames
ltx_walking_person_ltx_fast_384x640_33f_20s,ltx,walking_person,1.736393,,14242.84,outputs/ltx_video/runs/ltx_walking_person_ltx_fast_384x640_33f_20s/frames
ltx_walking_person_ltx_fast_384x640_49f_15s,ltx,walking_person,1.897756,,18213.82,outputs/ltx_video/runs/ltx_walking_person_ltx_fast_384x640_49f_15s/frames
ltx_walking_person_ltx_fast_384x640_49f_20s,ltx,walking_person,2.432201,,18213.46,outputs/ltx_video/runs/ltx_walking_person_ltx_fast_384x640_49f_20s/frames
ltx_walking_person_ltx_fast_384x640_49f_30s,ltx,walking_person,3.452165,,21882.03,outputs/ltx_video/runs/ltx_walking_person_ltx_fast_384x640_49f_30s/frames
ltx_walking_person_ltx_fast_384x640_49f_4s,ltx,walking_person,0.909303,,21882.03,outputs/ltx_video/runs/ltx_walking_person_ltx_fast_384x640_49f_4s/frames
ltx_walking_person_ltx_fast_384x640_49f_8s,ltx,walking_person,1.213755,,14522.9,outputs/ltx_video/runs/ltx_walking_person_ltx_fast_384x640_49f_8s/frames
ltx_walking_person_ltx_fast_384x640_81f_20s,ltx,walking_person,4.075552,,18815.7,outputs/ltx_video/runs/ltx_walking_person_ltx_fast_384x640_81f_20s/frames
ltx_walking_person_ltx_fast_512x704_49f_20s,ltx,walking_person,3.755244,,22194.64,outputs/ltx_video/runs/ltx_walking_person_ltx_fast_512x704_49f_20s/frames
ltx_walking_person_ltx_quality_512x704_81f_30s,ltx,walking_person,9.014522,,15660.54,outputs/ltx_video/runs/ltx_walking_person_ltx_quality_512x704_81f_30s/frames
