run_id,model,prompt_id,latency_seconds,wall_clock_generation_seconds,peak_memory_mb,frames_dir
white_static_landscape_tiny_preview,white,static_landscape,0.216608,0.00354,,outputs/runs/white_static_landscape_tiny_preview/frames
black_static_landscape_tiny_preview,black,static_landscape,0.216608,0.001415,,outputs/runs/black_static_landscape_tiny_preview/frames
static_frame_static_landscape_tiny_preview,static_frame,static_landscape,0.226608,0.004177,,outputs/runs/static_frame_static_landscape_tiny_preview/frames
noise_static_landscape_tiny_preview,noise,static_landscape,0.236608,0.103944,,outputs/runs/noise_static_landscape_tiny_preview/frames
moving_square_static_landscape_tiny_preview,moving_square,static_landscape,0.256608,0.003184,,outputs/runs/moving_square_static_landscape_tiny_preview/frames
white_static_landscape_short_preview,white,static_landscape,0.75728,0.00478,,outputs/runs/white_static_landscape_short_preview/frames
black_static_landscape_short_preview,black,static_landscape,0.75728,0.002138,,outputs/runs/black_static_landscape_short_preview/frames
static_frame_static_landscape_short_preview,static_frame,static_landscape,0.76728,0.005457,,outputs/runs/static_frame_static_landscape_short_preview/frames
noise_static_landscape_short_preview,noise,static_landscape,0.77728,0.189994,,outputs/runs/noise_static_landscape_short_preview/frames
moving_square_static_landscape_short_preview,moving_square,static_landscape,0.79728,0.004945,,outputs/runs/moving_square_static_landscape_short_preview/frames
white_static_landscape_balanced_preview,white,static_landscape,1.789472,0.004152,,outputs/runs/white_static_landscape_balanced_preview/frames
black_static_landscape_balanced_preview,black,static_landscape,1.789472,0.004397,,outputs/runs/black_static_landscape_balanced_preview/frames
static_frame_static_landscape_balanced_preview,static_frame,static_landscape,1.799472,0.010983,,outputs/runs/static_frame_static_landscape_balanced_preview/frames
noise_static_landscape_balanced_preview,noise,static_landscape,1.809472,0.306686,,outputs/runs/noise_static_landscape_balanced_preview/frames
moving_square_static_landscape_balanced_preview,moving_square,static_landscape,1.829472,0.018124,,outputs/runs/moving_square_static_landscape_balanced_preview/frames
white_walking_person_tiny_preview,white,walking_person,0.216608,0.006258,,outputs/runs/white_walking_person_tiny_preview/frames
black_walking_person_tiny_preview,black,walking_person,0.216608,0.005156,,outputs/runs/black_walking_person_tiny_preview/frames
static_frame_walking_person_tiny_preview,static_frame,walking_person,0.226608,0.004341,,outputs/runs/static_frame_walking_person_tiny_preview/frames
noise_walking_person_tiny_preview,noise,walking_person,0.236608,0.47447,,outputs/runs/noise_walking_person_tiny_preview/frames
moving_square_walking_person_tiny_preview,moving_square,walking_person,0.256608,0.002795,,outputs/runs/moving_square_walking_person_tiny_preview/frames
white_walking_person_short_preview,white,walking_person,0.75728,0.001816,,outputs/runs/white_walking_person_short_preview/frames
black_walking_person_short_preview,black,walking_person,0.75728,0.001802,,outputs/runs/black_walking_person_short_preview/frames
static_frame_walking_person_short_preview,static_frame,walking_person,0.76728,0.006531,,outputs/runs/static_frame_walking_person_short_preview/frames
noise_walking_person_short_preview,noise,walking_person,0.77728,0.188899,,outputs/runs/noise_walking_person_short_preview/frames
moving_square_walking_person_short_preview,moving_square,walking_person,0.79728,0.00486,,outputs/runs/moving_square_walking_person_short_preview/frames
white_walking_person_balanced_preview,white,walking_person,1.789472,0.003293,,outputs/runs/white_walking_person_balanced_preview/frames
black_walking_person_balanced_preview,black,walking_person,1.789472,0.002289,,outputs/runs/black_walking_person_balanced_preview/frames
static_frame_walking_person_balanced_preview,static_frame,walking_person,1.799472,0.007197,,outputs/runs/static_frame_walking_person_balanced_preview/frames
noise_walking_person_balanced_preview,noise,walking_person,1.809472,0.304722,,outputs/runs/noise_walking_person_balanced_preview/frames
moving_square_walking_person_balanced_preview,moving_square,walking_person,1.829472,0.006689,,outputs/runs/moving_square_walking_person_balanced_preview/frames
white_fast_action_tiny_preview,white,fast_action,0.216608,0.00098,,outputs/runs/white_fast_action_tiny_preview/frames
black_fast_action_tiny_preview,black,fast_action,0.216608,0.001086,,outputs/runs/black_fast_action_tiny_preview/frames
static_frame_fast_action_tiny_preview,static_frame,fast_action,0.226608,0.003256,,outputs/runs/static_frame_fast_action_tiny_preview/frames
noise_fast_action_tiny_preview,noise,fast_action,0.236608,0.100404,,outputs/runs/noise_fast_action_tiny_preview/frames
moving_square_fast_action_tiny_preview,moving_square,fast_action,0.256608,0.002702,,outputs/runs/moving_square_fast_action_tiny_preview/frames
white_fast_action_short_preview,white,fast_action,0.75728,0.001691,,outputs/runs/white_fast_action_short_preview/frames
black_fast_action_short_preview,black,fast_action,0.75728,0.0017,,outputs/runs/black_fast_action_short_preview/frames
static_frame_fast_action_short_preview,static_frame,fast_action,0.76728,0.005566,,outputs/runs/static_frame_fast_action_short_preview/frames
noise_fast_action_short_preview,noise,fast_action,0.77728,0.189458,,outputs/runs/noise_fast_action_short_preview/frames
moving_square_fast_action_short_preview,moving_square,fast_action,0.79728,0.005685,,outputs/runs/moving_square_fast_action_short_preview/frames
white_fast_action_balanced_preview,white,fast_action,1.789472,0.002109,,outputs/runs/white_fast_action_balanced_preview/frames
black_fast_action_balanced_preview,black,fast_action,1.789472,0.002788,,outputs/runs/black_fast_action_balanced_preview/frames
static_frame_fast_action_balanced_preview,static_frame,fast_action,1.799472,0.011099,,outputs/runs/static_frame_fast_action_balanced_preview/frames
noise_fast_action_balanced_preview,noise,fast_action,1.809472,0.310054,,outputs/runs/noise_fast_action_balanced_preview/frames
moving_square_fast_action_balanced_preview,moving_square,fast_action,1.829472,0.007195,,outputs/runs/moving_square_fast_action_balanced_preview/frames
